# RUN_NAME=t2
# pulse_id=668
# i_unit=A
# rogowski_v_per_a=0.02
# u_probe_attenuation=50.0
# created=2025-11-11T10:06:26.012615
# columns: sample_idx,time_s,u_V,i_A
0,0.000000000e+00,0.000000000e+00,0.000000000e+00
1,4.800000000e-08,-1.968503937e-02,0.000000000e+00
2,9.600000000e-08,0.000000000e+00,-3.937007874e+00
3,1.440000000e-07,-1.968503937e-02,0.000000000e+00
4,1.920000000e-07,-1.968503937e-02,0.000000000e+00
5,2.400000000e-07,0.000000000e+00,0.000000000e+00
6,2.880000000e-07,0.000000000e+00,0.000000000e+00
7,3.360000000e-07,-1.968503937e-02,0.000000000e+00
8,3.840000000e-07,0.000000000e+00,-3.937007874e+00
9,4.320000000e-07,1.968503937e-02,0.000000000e+00
10,4.800000000e-07,-1.968503937e-02,0.000000000e+00
11,5.280000000e-07,-1.968503937e-02,0.000000000e+00
12,5.760000000e-07,0.000000000e+00,-3.937007874e+00
13,6.240000000e-07,0.000000000e+00,0.000000000e+00
14,6.720000000e-07,0.000000000e+00,0.000000000e+00
15,7.200000000e-07,0.000000000e+00,0.000000000e+00
16,7.680000000e-07,0.000000000e+00,0.000000000e+00
17,8.160000000e-07,-1.968503937e-02,-3.937007874e+00
18,8.640000000e-07,-1.968503937e-02,-3.937007874e+00
19,9.120000000e-07,0.000000000e+00,0.000000000e+00
20,9.600000000e-07,0.000000000e+00,-3.937007874e+00
21,1.008000000e-06,-1.968503937e-02,0.000000000e+00
22,1.056000000e-06,-1.968503937e-02,-3.937007874e+00
23,1.104000000e-06,0.000000000e+00,0.000000000e+00
24,1.152000000e-06,0.000000000e+00,0.000000000e+00
25,1.200000000e-06,0.000000000e+00,0.000000000e+00
26,1.248000000e-06,-1.968503937e-02,-3.937007874e+00
27,1.296000000e-06,-1.968503937e-02,-3.937007874e+00
28,1.344000000e-06,-1.968503937e-02,-3.937007874e+00
29,1.392000000e-06,-1.968503937e-02,0.000000000e+00
30,1.440000000e-06,-3.937007874e-02,-3.937007874e+00
31,1.488000000e-06,-1.968503937e-02,0.000000000e+00
32,1.536000000e-06,0.000000000e+00,0.000000000e+00
33,1.584000000e-06,0.000000000e+00,0.000000000e+00
34,1.632000000e-06,-3.937007874e-02,-3.937007874e+00
35,1.680000000e-06,-1.968503937e-02,0.000000000e+00
36,1.728000000e-06,-1.968503937e-02,0.000000000e+00
37,1.776000000e-06,0.000000000e+00,-3.937007874e+00
38,1.824000000e-06,0.000000000e+00,0.000000000e+00
39,1.872000000e-06,0.000000000e+00,0.000000000e+00
40,1.920000000e-06,-1.968503937e-02,0.000000000e+00
41,1.968000000e-06,0.000000000e+00,0.000000000e+00
42,2.016000000e-06,0.000000000e+00,0.000000000e+00
43,2.064000000e-06,-1.968503937e-02,0.000000000e+00
44,2.112000000e-06,0.000000000e+00,-3.937007874e+00
45,2.160000000e-06,0.000000000e+00,0.000000000e+00
46,2.208000000e-06,-1.968503937e-02,0.000000000e+00
47,2.256000000e-06,0.000000000e+00,0.000000000e+00
48,2.304000000e-06,-3.937007874e-02,0.000000000e+00
49,2.352000000e-06,0.000000000e+00,0.000000000e+00
50,2.400000000e-06,3.937007874e-02,-3.937007874e+00
51,2.448000000e-06,-1.968503937e-02,0.000000000e+00
52,2.496000000e-06,-1.968503937e-02,-3.937007874e+00
53,2.544000000e-06,0.000000000e+00,0.000000000e+00
54,2.592000000e-06,0.000000000e+00,0.000000000e+00
55,2.640000000e-06,0.000000000e+00,0.000000000e+00
56,2.688000000e-06,0.000000000e+00,-3.937007874e+00
57,2.736000000e-06,-1.968503937e-02,0.000000000e+00
58,2.784000000e-06,-1.968503937e-02,-3.937007874e+00
59,2.832000000e-06,0.000000000e+00,0.000000000e+00
60,2.880000000e-06,0.000000000e+00,0.000000000e+00
61,2.928000000e-06,-1.968503937e-02,-3.937007874e+00
62,2.976000000e-06,-1.968503937e-02,0.000000000e+00
63,3.024000000e-06,0.000000000e+00,0.000000000e+00
64,3.072000000e-06,0.000000000e+00,0.000000000e+00
65,3.120000000e-06,-1.968503937e-02,0.000000000e+00
66,3.168000000e-06,-1.968503937e-02,0.000000000e+00
67,3.216000000e-06,-1.968503937e-02,0.000000000e+00
68,3.264000000e-06,-1.968503937e-02,0.000000000e+00
69,3.312000000e-06,-1.968503937e-02,0.000000000e+00
70,3.360000000e-06,0.000000000e+00,-3.937007874e+00
71,3.408000000e-06,-1.968503937e-02,0.000000000e+00
72,3.456000000e-06,-1.968503937e-02,0.000000000e+00
73,3.504000000e-06,0.000000000e+00,0.000000000e+00
74,3.552000000e-06,-3.937007874e-02,0.000000000e+00
75,3.600000000e-06,-1.968503937e-02,-3.937007874e+00
76,3.648000000e-06,-1.968503937e-02,0.000000000e+00
77,3.696000000e-06,0.000000000e+00,0.000000000e+00
78,3.744000000e-06,-3.937007874e-02,-3.937007874e+00
79,3.792000000e-06,0.000000000e+00,0.000000000e+00
80,3.840000000e-06,-1.968503937e-02,0.000000000e+00
81,3.888000000e-06,-1.968503937e-02,0.000000000e+00
82,3.936000000e-06,-3.937007874e-02,0.000000000e+00
83,3.984000000e-06,-1.968503937e-02,0.000000000e+00
84,4.032000000e-06,0.000000000e+00,-3.937007874e+00
85,4.080000000e-06,-1.968503937e-02,0.000000000e+00
86,4.128000000e-06,-1.968503937e-02,0.000000000e+00
87,4.176000000e-06,-1.968503937e-02,0.000000000e+00
88,4.224000000e-06,0.000000000e+00,0.000000000e+00
89,4.272000000e-06,0.000000000e+00,0.000000000e+00
90,4.320000000e-06,0.000000000e+00,0.000000000e+00
91,4.368000000e-06,0.000000000e+00,-3.937007874e+00
92,4.416000000e-06,-1.968503937e-02,0.000000000e+00
93,4.464000000e-06,-3.937007874e-02,0.000000000e+00
94,4.512000000e-06,-3.937007874e-02,0.000000000e+00
95,4.560000000e-06,0.000000000e+00,0.000000000e+00
96,4.608000000e-06,0.000000000e+00,0.000000000e+00
97,4.656000000e-06,-1.968503937e-02,0.000000000e+00
98,4.704000000e-06,-1.968503937e-02,-3.937007874e+00
99,4.752000000e-06,0.000000000e+00,0.000000000e+00
100,4.800000000e-06,-1.968503937e-02,0.000000000e+00
101,4.848000000e-06,-1.968503937e-02,-3.937007874e+00
102,4.896000000e-06,-1.968503937e-02,-3.937007874e+00
103,4.944000000e-06,0.000000000e+00,-3.937007874e+00
104,4.992000000e-06,-3.937007874e-02,-3.937007874e+00
105,5.040000000e-06,-1.968503937e-02,-3.937007874e+00
106,5.088000000e-06,-1.968503937e-02,0.000000000e+00
107,5.136000000e-06,-1.968503937e-02,0.000000000e+00
108,5.184000000e-06,-1.968503937e-02,0.000000000e+00
109,5.232000000e-06,-1.968503937e-02,0.000000000e+00
110,5.280000000e-06,-1.968503937e-02,0.000000000e+00
111,5.328000000e-06,0.000000000e+00,0.000000000e+00
112,5.376000000e-06,0.000000000e+00,-3.937007874e+00
113,5.424000000e-06,-3.937007874e-02,-3.937007874e+00
114,5.472000000e-06,0.000000000e+00,0.000000000e+00
115,5.520000000e-06,0.000000000e+00,0.000000000e+00
116,5.568000000e-06,0.000000000e+00,0.000000000e+00
117,5.616000000e-06,0.000000000e+00,0.000000000e+00
118,5.664000000e-06,-3.937007874e-02,0.000000000e+00
119,5.712000000e-06,0.000000000e+00,-3.937007874e+00
120,5.760000000e-06,0.000000000e+00,-3.937007874e+00
121,5.808000000e-06,0.000000000e+00,-3.937007874e+00
122,5.856000000e-06,-1.968503937e-02,0.000000000e+00
123,5.904000000e-06,-1.968503937e-02,0.000000000e+00
124,5.952000000e-06,0.000000000e+00,-3.937007874e+00
125,6.000000000e-06,-1.968503937e-02,0.000000000e+00
126,6.048000000e-06,-3.937007874e-02,0.000000000e+00
127,6.096000000e-06,-1.968503937e-02,0.000000000e+00
128,6.144000000e-06,-1.968503937e-02,0.000000000e+00
129,6.192000000e-06,0.000000000e+00,0.000000000e+00
130,6.240000000e-06,0.000000000e+00,-3.937007874e+00
131,6.288000000e-06,0.000000000e+00,-3.937007874e+00
132,6.336000000e-06,-3.937007874e-02,-3.937007874e+00
133,6.384000000e-06,0.000000000e+00,0.000000000e+00
134,6.432000000e-06,-1.968503937e-02,-3.937007874e+00
135,6.480000000e-06,0.000000000e+00,-3.937007874e+00
136,6.528000000e-06,-1.968503937e-02,-3.937007874e+00
137,6.576000000e-06,0.000000000e+00,0.000000000e+00
138,6.624000000e-06,0.000000000e+00,-3.937007874e+00
139,6.672000000e-06,-1.968503937e-02,0.000000000e+00
140,6.720000000e-06,0.000000000e+00,0.000000000e+00
141,6.768000000e-06,0.000000000e+00,-3.937007874e+00
142,6.816000000e-06,0.000000000e+00,0.000000000e+00
143,6.864000000e-06,0.000000000e+00,0.000000000e+00
144,6.912000000e-06,-1.968503937e-02,-3.937007874e+00
145,6.960000000e-06,0.000000000e+00,0.000000000e+00
146,7.008000000e-06,-1.968503937e-02,0.000000000e+00
147,7.056000000e-06,-1.968503937e-02,0.000000000e+00
148,7.104000000e-06,0.000000000e+00,0.000000000e+00
149,7.152000000e-06,0.000000000e+00,0.000000000e+00
150,7.200000000e-06,-1.968503937e-02,0.000000000e+00
151,7.248000000e-06,-1.968503937e-02,0.000000000e+00
152,7.296000000e-06,0.000000000e+00,-3.937007874e+00
153,7.344000000e-06,0.000000000e+00,0.000000000e+00
154,7.392000000e-06,0.000000000e+00,0.000000000e+00
155,7.440000000e-06,0.000000000e+00,0.000000000e+00
156,7.488000000e-06,-1.968503937e-02,0.000000000e+00
157,7.536000000e-06,0.000000000e+00,-3.937007874e+00
158,7.584000000e-06,-3.937007874e-02,0.000000000e+00
159,7.632000000e-06,-1.968503937e-02,-3.937007874e+00
160,7.680000000e-06,-3.937007874e-02,-3.937007874e+00
161,7.728000000e-06,0.000000000e+00,-3.937007874e+00
162,7.776000000e-06,-1.968503937e-02,-3.937007874e+00
163,7.824000000e-06,-1.968503937e-02,0.000000000e+00
164,7.872000000e-06,-3.937007874e-02,0.000000000e+00
165,7.920000000e-06,-1.968503937e-02,-3.937007874e+00
166,7.968000000e-06,-3.937007874e-02,0.000000000e+00
167,8.016000000e-06,-1.968503937e-02,-3.937007874e+00
168,8.064000000e-06,-1.968503937e-02,0.000000000e+00
169,8.112000000e-06,0.000000000e+00,0.000000000e+00
170,8.160000000e-06,-1.968503937e-02,0.000000000e+00
171,8.208000000e-06,-1.968503937e-02,0.000000000e+00
172,8.256000000e-06,-1.968503937e-02,0.000000000e+00
173,8.304000000e-06,-1.968503937e-02,-3.937007874e+00
174,8.352000000e-06,0.000000000e+00,0.000000000e+00
175,8.400000000e-06,-3.937007874e-02,0.000000000e+00
176,8.448000000e-06,-1.968503937e-02,-3.937007874e+00
177,8.496000000e-06,-1.968503937e-02,0.000000000e+00
178,8.544000000e-06,-1.968503937e-02,0.000000000e+00
179,8.592000000e-06,-1.968503937e-02,0.000000000e+00
180,8.640000000e-06,-1.968503937e-02,0.000000000e+00
181,8.688000000e-06,0.000000000e+00,-3.937007874e+00
182,8.736000000e-06,-1.968503937e-02,0.000000000e+00
183,8.784000000e-06,-1.968503937e-02,0.000000000e+00
184,8.832000000e-06,-1.968503937e-02,0.000000000e+00
185,8.880000000e-06,0.000000000e+00,0.000000000e+00
186,8.928000000e-06,-1.968503937e-02,-3.937007874e+00
187,8.976000000e-06,-1.968503937e-02,-3.937007874e+00
188,9.024000000e-06,0.000000000e+00,-3.937007874e+00
189,9.072000000e-06,0.000000000e+00,0.000000000e+00
190,9.120000000e-06,-5.905511811e-02,-3.937007874e+00
191,9.168000000e-06,0.000000000e+00,0.000000000e+00
192,9.216000000e-06,1.968503937e-02,-3.937007874e+00
193,9.264000000e-06,-1.968503937e-02,0.000000000e+00
194,9.312000000e-06,-1.968503937e-02,0.000000000e+00
195,9.360000000e-06,0.000000000e+00,0.000000000e+00
196,9.408000000e-06,0.000000000e+00,0.000000000e+00
197,9.456000000e-06,-1.968503937e-02,-3.937007874e+00
198,9.504000000e-06,-3.937007874e-02,0.000000000e+00
199,9.552000000e-06,-1.968503937e-02,0.000000000e+00
200,9.600000000e-06,0.000000000e+00,0.000000000e+00
201,9.648000000e-06,-1.968503937e-02,0.000000000e+00
202,9.696000000e-06,-1.968503937e-02,0.000000000e+00
203,9.744000000e-06,0.000000000e+00,-3.937007874e+00
204,9.792000000e-06,0.000000000e+00,0.000000000e+00
205,9.840000000e-06,0.000000000e+00,0.000000000e+00
206,9.888000000e-06,-1.968503937e-02,0.000000000e+00
207,9.936000000e-06,0.000000000e+00,0.000000000e+00
208,9.984000000e-06,0.000000000e+00,0.000000000e+00
209,1.003200000e-05,1.968503937e-02,0.000000000e+00
210,1.008000000e-05,-3.937007874e-02,-3.937007874e+00
211,1.012800000e-05,0.000000000e+00,0.000000000e+00
212,1.017600000e-05,-1.968503937e-02,0.000000000e+00
213,1.022400000e-05,0.000000000e+00,0.000000000e+00
214,1.027200000e-05,-1.968503937e-02,0.000000000e+00
215,1.032000000e-05,-1.968503937e-02,0.000000000e+00
216,1.036800000e-05,-3.937007874e-02,-3.937007874e+00
217,1.041600000e-05,0.000000000e+00,0.000000000e+00
218,1.046400000e-05,0.000000000e+00,0.000000000e+00
219,1.051200000e-05,0.000000000e+00,0.000000000e+00
220,1.056000000e-05,-1.968503937e-02,0.000000000e+00
221,1.060800000e-05,-1.968503937e-02,-3.937007874e+00
222,1.065600000e-05,-1.968503937e-02,0.000000000e+00
223,1.070400000e-05,-1.968503937e-02,0.000000000e+00
224,1.075200000e-05,-1.968503937e-02,-3.937007874e+00
225,1.080000000e-05,0.000000000e+00,0.000000000e+00
226,1.084800000e-05,-1.968503937e-02,0.000000000e+00
227,1.089600000e-05,1.968503937e-02,0.000000000e+00
228,1.094400000e-05,-3.937007874e-02,0.000000000e+00
229,1.099200000e-05,1.968503937e-02,-3.937007874e+00
230,1.104000000e-05,-1.968503937e-02,0.000000000e+00
231,1.108800000e-05,0.000000000e+00,0.000000000e+00
232,1.113600000e-05,0.000000000e+00,0.000000000e+00
233,1.118400000e-05,0.000000000e+00,0.000000000e+00
234,1.123200000e-05,-1.968503937e-02,0.000000000e+00
235,1.128000000e-05,0.000000000e+00,0.000000000e+00
236,1.132800000e-05,0.000000000e+00,0.000000000e+00
237,1.137600000e-05,0.000000000e+00,-3.937007874e+00
238,1.142400000e-05,0.000000000e+00,0.000000000e+00
239,1.147200000e-05,0.000000000e+00,0.000000000e+00
240,1.152000000e-05,-1.968503937e-02,0.000000000e+00
241,1.156800000e-05,0.000000000e+00,-3.937007874e+00
242,1.161600000e-05,0.000000000e+00,0.000000000e+00
243,1.166400000e-05,-1.968503937e-02,-3.937007874e+00
244,1.171200000e-05,0.000000000e+00,0.000000000e+00
245,1.176000000e-05,0.000000000e+00,0.000000000e+00
246,1.180800000e-05,-1.968503937e-02,-3.937007874e+00
247,1.185600000e-05,-3.937007874e-02,0.000000000e+00
248,1.190400000e-05,0.000000000e+00,-3.937007874e+00
249,1.195200000e-05,0.000000000e+00,0.000000000e+00
250,1.200000000e-05,-3.937007874e-02,0.000000000e+00
251,1.204800000e-05,-1.968503937e-02,0.000000000e+00
252,1.209600000e-05,-1.968503937e-02,0.000000000e+00
253,1.214400000e-05,-1.968503937e-02,0.000000000e+00
254,1.219200000e-05,0.000000000e+00,0.000000000e+00
255,1.224000000e-05,0.000000000e+00,0.000000000e+00
256,1.228800000e-05,-1.968503937e-02,-3.937007874e+00
257,1.233600000e-05,0.000000000e+00,0.000000000e+00
258,1.238400000e-05,-1.968503937e-02,-3.937007874e+00
259,1.243200000e-05,-1.968503937e-02,0.000000000e+00
260,1.248000000e-05,0.000000000e+00,0.000000000e+00
261,1.252800000e-05,-1.968503937e-02,0.000000000e+00
262,1.257600000e-05,-3.937007874e-02,-3.937007874e+00
263,1.262400000e-05,0.000000000e+00,0.000000000e+00
264,1.267200000e-05,-1.968503937e-02,0.000000000e+00
265,1.272000000e-05,-1.968503937e-02,0.000000000e+00
266,1.276800000e-05,-1.968503937e-02,-3.937007874e+00
267,1.281600000e-05,-1.968503937e-02,-3.937007874e+00
268,1.286400000e-05,-1.968503937e-02,0.000000000e+00
269,1.291200000e-05,-1.968503937e-02,0.000000000e+00
270,1.296000000e-05,0.000000000e+00,0.000000000e+00
271,1.300800000e-05,-1.968503937e-02,0.000000000e+00
272,1.305600000e-05,-1.968503937e-02,0.000000000e+00
273,1.310400000e-05,-1.968503937e-02,0.000000000e+00
274,1.315200000e-05,0.000000000e+00,0.000000000e+00
275,1.320000000e-05,-1.968503937e-02,0.000000000e+00
276,1.324800000e-05,0.000000000e+00,-3.937007874e+00
277,1.329600000e-05,0.000000000e+00,0.000000000e+00
278,1.334400000e-05,-3.937007874e-02,0.000000000e+00
279,1.339200000e-05,-1.968503937e-02,0.000000000e+00
280,1.344000000e-05,0.000000000e+00,0.000000000e+00
281,1.348800000e-05,-1.968503937e-02,0.000000000e+00
282,1.353600000e-05,0.000000000e+00,0.000000000e+00
283,1.358400000e-05,-1.968503937e-02,0.000000000e+00
284,1.363200000e-05,-1.968503937e-02,-3.937007874e+00
285,1.368000000e-05,-3.937007874e-02,0.000000000e+00
286,1.372800000e-05,-1.968503937e-02,0.000000000e+00
287,1.377600000e-05,0.000000000e+00,0.000000000e+00
288,1.382400000e-05,-3.937007874e-02,-3.937007874e+00
289,1.387200000e-05,0.000000000e+00,-3.937007874e+00
290,1.392000000e-05,0.000000000e+00,0.000000000e+00
291,1.396800000e-05,0.000000000e+00,0.000000000e+00
292,1.401600000e-05,0.000000000e+00,-3.937007874e+00
293,1.406400000e-05,-1.968503937e-02,-3.937007874e+00
294,1.411200000e-05,-1.968503937e-02,0.000000000e+00
295,1.416000000e-05,0.000000000e+00,0.000000000e+00
296,1.420800000e-05,-1.968503937e-02,0.000000000e+00
297,1.425600000e-05,0.000000000e+00,0.000000000e+00
298,1.430400000e-05,0.000000000e+00,-3.937007874e+00
299,1.435200000e-05,0.000000000e+00,0.000000000e+00
300,1.440000000e-05,-1.968503937e-02,0.000000000e+00
301,1.444800000e-05,-3.937007874e-02,0.000000000e+00
302,1.449600000e-05,-1.968503937e-02,0.000000000e+00
303,1.454400000e-05,0.000000000e+00,0.000000000e+00
304,1.459200000e-05,0.000000000e+00,-3.937007874e+00
305,1.464000000e-05,-1.968503937e-02,0.000000000e+00
306,1.468800000e-05,-1.968503937e-02,-3.937007874e+00
307,1.473600000e-05,-1.968503937e-02,0.000000000e+00
308,1.478400000e-05,-1.968503937e-02,0.000000000e+00
309,1.483200000e-05,-3.937007874e-02,-3.937007874e+00
310,1.488000000e-05,-3.937007874e-02,-3.937007874e+00
311,1.492800000e-05,-1.968503937e-02,0.000000000e+00
312,1.497600000e-05,0.000000000e+00,0.000000000e+00
313,1.502400000e-05,0.000000000e+00,0.000000000e+00
314,1.507200000e-05,0.000000000e+00,0.000000000e+00
315,1.512000000e-05,0.000000000e+00,0.000000000e+00
316,1.516800000e-05,-1.968503937e-02,-3.937007874e+00
317,1.521600000e-05,-1.968503937e-02,0.000000000e+00
318,1.526400000e-05,-3.937007874e-02,0.000000000e+00
319,1.531200000e-05,0.000000000e+00,-3.937007874e+00
320,1.536000000e-05,-1.968503937e-02,0.000000000e+00
321,1.540800000e-05,-1.968503937e-02,0.000000000e+00
322,1.545600000e-05,-3.937007874e-02,-3.937007874e+00
323,1.550400000e-05,0.000000000e+00,0.000000000e+00
324,1.555200000e-05,0.000000000e+00,-3.937007874e+00
325,1.560000000e-05,0.000000000e+00,0.000000000e+00
326,1.564800000e-05,0.000000000e+00,-3.937007874e+00
327,1.569600000e-05,1.968503937e-02,0.000000000e+00
328,1.574400000e-05,0.000000000e+00,-3.937007874e+00
329,1.579200000e-05,0.000000000e+00,-3.937007874e+00
330,1.584000000e-05,0.000000000e+00,0.000000000e+00
331,1.588800000e-05,0.000000000e+00,0.000000000e+00
332,1.593600000e-05,-1.968503937e-02,-3.937007874e+00
333,1.598400000e-05,0.000000000e+00,-3.937007874e+00
334,1.603200000e-05,-3.937007874e-02,-3.937007874e+00
335,1.608000000e-05,-1.968503937e-02,-3.937007874e+00
336,1.612800000e-05,-3.937007874e-02,-3.937007874e+00
337,1.617600000e-05,0.000000000e+00,0.000000000e+00
338,1.622400000e-05,-1.968503937e-02,0.000000000e+00
339,1.627200000e-05,-1.968503937e-02,0.000000000e+00
340,1.632000000e-05,-1.968503937e-02,0.000000000e+00
341,1.636800000e-05,0.000000000e+00,0.000000000e+00
342,1.641600000e-05,-1.968503937e-02,-3.937007874e+00
343,1.646400000e-05,0.000000000e+00,0.000000000e+00
344,1.651200000e-05,-1.968503937e-02,-3.937007874e+00
345,1.656000000e-05,-1.968503937e-02,0.000000000e+00
346,1.660800000e-05,-1.968503937e-02,-3.937007874e+00
347,1.665600000e-05,0.000000000e+00,0.000000000e+00
348,1.670400000e-05,0.000000000e+00,0.000000000e+00
349,1.675200000e-05,-1.968503937e-02,0.000000000e+00
350,1.680000000e-05,0.000000000e+00,0.000000000e+00
351,1.684800000e-05,0.000000000e+00,0.000000000e+00
352,1.689600000e-05,-1.968503937e-02,0.000000000e+00
353,1.694400000e-05,-3.937007874e-02,0.000000000e+00
354,1.699200000e-05,-1.968503937e-02,0.000000000e+00
355,1.704000000e-05,-1.968503937e-02,-3.937007874e+00
356,1.708800000e-05,-1.968503937e-02,0.000000000e+00
357,1.713600000e-05,0.000000000e+00,0.000000000e+00
358,1.718400000e-05,0.000000000e+00,0.000000000e+00
359,1.723200000e-05,0.000000000e+00,0.000000000e+00
360,1.728000000e-05,-1.968503937e-02,-3.937007874e+00
361,1.732800000e-05,0.000000000e+00,-3.937007874e+00
362,1.737600000e-05,-1.968503937e-02,0.000000000e+00
363,1.742400000e-05,-1.968503937e-02,0.000000000e+00
364,1.747200000e-05,-1.968503937e-02,-3.937007874e+00
365,1.752000000e-05,0.000000000e+00,0.000000000e+00
366,1.756800000e-05,0.000000000e+00,0.000000000e+00
367,1.761600000e-05,0.000000000e+00,0.000000000e+00
368,1.766400000e-05,-3.937007874e-02,-3.937007874e+00
369,1.771200000e-05,0.000000000e+00,0.000000000e+00
370,1.776000000e-05,1.968503937e-02,-3.937007874e+00
371,1.780800000e-05,-1.968503937e-02,0.000000000e+00
372,1.785600000e-05,-1.968503937e-02,-3.937007874e+00
373,1.790400000e-05,-1.968503937e-02,0.000000000e+00
374,1.795200000e-05,-1.968503937e-02,0.000000000e+00
375,1.800000000e-05,-1.968503937e-02,0.000000000e+00
376,1.804800000e-05,-3.937007874e-02,0.000000000e+00
377,1.809600000e-05,-1.968503937e-02,0.000000000e+00
378,1.814400000e-05,-1.968503937e-02,0.000000000e+00
379,1.819200000e-05,0.000000000e+00,0.000000000e+00
380,1.824000000e-05,-1.968503937e-02,-3.937007874e+00
381,1.828800000e-05,0.000000000e+00,0.000000000e+00
382,1.833600000e-05,-1.968503937e-02,0.000000000e+00
383,1.838400000e-05,0.000000000e+00,-3.937007874e+00
384,1.843200000e-05,1.968503937e-02,-3.937007874e+00
385,1.848000000e-05,-1.968503937e-02,0.000000000e+00
386,1.852800000e-05,0.000000000e+00,0.000000000e+00
387,1.857600000e-05,0.000000000e+00,-3.937007874e+00
388,1.862400000e-05,0.000000000e+00,-3.937007874e+00
389,1.867200000e-05,-1.968503937e-02,0.000000000e+00
390,1.872000000e-05,-1.968503937e-02,-3.937007874e+00
391,1.876800000e-05,0.000000000e+00,-3.937007874e+00
392,1.881600000e-05,-1.968503937e-02,-3.937007874e+00
