# columns: pulse_id,t_mid_s,esr_ohm,cap_F,E_J,P_peak_W,P_avg_W,i_col,source
1,1.151997600e-02,-4.365054808e-05,-3.727470436e-03,-5.919760332e-01,0.000000000e+00,-2.569345775e+01,i_A,per_pulse
2,1.151997600e-02,-5.242002542e-06,5.530197103e-03,-7.731696162e-01,0.000000000e+00,-3.355777895e+01,i_A,per_pulse
3,1.151997600e-02,2.307235635e-02,8.252016824e-04,-9.018025854e-01,1.539463079e+03,-3.914081876e+01,i_A,per_pulse
4,1.151997600e-02,-2.985309854e-05,-1.776786755e-03,-1.135569758e+00,0.000000000e+00,-4.928698452e+01,i_A,per_pulse
5,1.151997600e-02,1.581192935e-02,9.121719779e-04,-1.140022420e+00,1.539773080e+03,-4.948024286e+01,i_A,per_pulse
6,1.151997600e-02,1.284603434e-02,7.398905845e-04,-1.162589027e+00,1.539153079e+03,-5.045969832e+01,i_A,per_pulse
7,1.151997600e-02,2.307991326e-02,9.195625540e-04,-1.221056726e+00,1.538843078e+03,-5.299736416e+01,i_A,per_pulse
8,1.151997600e-02,1.820829356e-02,8.310544993e-04,-1.517992995e+00,1.540083081e+03,-6.588524990e+01,i_A,per_pulse
9,1.151997600e-02,1.484154968e-02,6.831030332e-04,-1.085658377e+00,1.538843078e+03,-4.712068744e+01,i_A,per_pulse
10,1.151997600e-02,1.681210640e-02,7.581239067e-04,-1.042544328e+00,1.539153079e+03,-4.524941404e+01,i_A,per_pulse
11,1.151997600e-02,1.064004290e-02,6.577366883e-04,-1.226890794e+00,1.539153079e+03,-5.325057941e+01,i_A,per_pulse
12,1.151997600e-02,2.545885752e-02,8.980284887e-04,-9.094413826e-01,1.539153079e+03,-3.947236446e+01,i_A,per_pulse
13,1.151997600e-02,3.220083098e-02,8.554685599e-04,-7.006484618e-01,1.554343109e+03,-3.041015284e+01,i_A,per_pulse
14,1.151997600e-02,2.540204983e-02,7.856910598e-04,-6.177966681e-01,1.539463079e+03,-2.681414736e+01,i_A,per_pulse
15,1.151997600e-02,2.479794005e-02,7.605200164e-04,-6.583588294e-01,1.539773080e+03,-2.857466150e+01,i_A,per_pulse
16,1.151997600e-02,2.546420334e-02,8.254859553e-04,-7.772551813e-01,1.559303119e+03,-3.373510419e+01,i_A,per_pulse
17,1.151997600e-02,1.879613662e-02,6.997082855e-04,-1.036063699e+00,1.538533077e+03,-4.496813617e+01,i_A,per_pulse
18,1.151997600e-02,7.074233631e-03,5.765578048e-04,-1.224676673e+00,1.166687333e+03,-5.315448023e+01,i_A,per_pulse
19,1.151997600e-02,2.485732383e-02,9.380487057e-04,-1.177652066e+00,1.539463079e+03,-5.111347743e+01,i_A,per_pulse
20,1.151997600e-02,1.860880761e-02,7.335904512e-04,-1.205232719e+00,1.540083081e+03,-5.231055684e+01,i_A,per_pulse
21,1.151997600e-02,2.038537007e-02,8.787734188e-04,-1.214102061e+00,1.545353091e+03,-5.269551173e+01,i_A,per_pulse
